SUBJECT OF PICTURE,Description,Zone - e.g. Watershed,Classification (Healthy / Unhealthy / It Depends),Source link 1 - Image File Name,"Image source (e.g., TERC-owned or source URL)",Anything else/Comments,,Notes:
Crayfish,Unhealthy: Non-native crayfish populations have increased and compete with native species for resources,Lake Bottom,Unhealthy,TERC_crayfish.png,"Brant Allen, UC Davis TERC", ,,Descriptions ARE case-sensitive and white-space sensitive
Crayfish,Unhealthy: Non-native crayfish populations have increased and compete with native species for resources,Lake Bottom,Unhealthy,TERC_CrayfishFace.png,"Brant Allen, UC Davis TERC", ,,Descriptions ARE case-sensitive and white-space sensitive
Sandy shallow waters,Healthy: Sandy nearshore habitat is found in some regions around the lake,Lake Bottom,Healthy,TERC_SandySubstrate.png,"Brant Allen, UC Davis TERC","I think I don't understand the lesson behind this one. Can sandy nearshore be a problem? It is just that there can be different types of substrates... either sandy, rocky, vegetated...",,Make sure the URL points to an actual IMAGE file
Rocky shallow waters,Healthy: Rocky nearshore habitat is found in some regions around the lake,Lake Bottom,Healthy,TERC_NearshoreRocks.png,"Alison Toy, UC Davis TERC",,,
Decomposed granite,Healthy: Decomposed granite (broken down granite rock) is found on the lake bottom in some regions around the lake,Lake Bottom,Healthy,TERC_DecomposedGraniteLakeBottom.png,"Brant Allen, UC Davis TERC",,,
Sediment at bottom of the lake,Healthy: Sediment that has been accumulating since the lake was first formed is found at the bottom of the lake,Lake Bottom,Healthy,TERC_SpectralImagingCameraSubstrate.png,"Brant Allen, UC Davis TERC",,,
Attached algae on rocks,"It Depends: Algae attached to rocks can be a natural part of the ecosystem, but excessive algae can also be an indicator of nutrient pollution in the water",Lake Bottom,It Depends,TERC_BrantAllenSamplingPeriphyton.png,"Scott Hackley, UC Davis TERC","Can we say more about why it depends? E.g., algae can be a natural part of a lake system, but can also indicate fertilizer pollution",,"Zone can be - Watershed, Nearshore, Open Water, Lake Bottom"
Attached algae on rocks,"It Depends: Algae attached to rocks can be a natural part of the ecosystem, but excessive algae can also be an indicator of nutrient pollution in the water",Lake Bottom,It Depends,TERC_BurntCedarBeach2009_JenSchmidt.png,"Jen Schmidt, UC Davis TERC",,,
Invasive clam shells,"Unhealthy: Non-native Asian clams are increasing in population, spreading to other areas around the lake. Their beds release high levels of phosphates resulting in unsightly and unnatural algal growth",Lake Bottom,Unhealthy,TERC_AsianClamsWithZygnimaElkPoint2008.png,"Brant Allen, UC Davis TERC",,,
Clam mats on lake bottom,Healthy: Rubber mats have been put on the bottom of the lake to manage the growing non-native Asian clam populations,Lake Bottom,It Depends,TERC_ClamBarrier.png,"Brant Allen, UC Davis TERC",https://www.flickr.com/photos/usfwsmtnprairie/13390718794/in/photolist-6VTFes-dcnzwn-7cLhcH-3DzmA4-8FUdhU-2PqJAz-4fZpyB-7b8vQm-e3tSMd-78CFRY-iRbDRC-2PvaWf-m2aWm-6FXAfb-cwuScE-ihDBKW-8vSbn4-fyqY25-ihCVy3-GUbXt-atQjrp-4QHmCh-ftnb6A-8oKe9R-mphWaY-64ELzT-88X28H-4JMLk6-cjqzYs-8NP7Uf-8Zw2ud-pXutK-mCsYER-cnKepu-cnKbLJ-9fc1ir-m2bd1-8E7WSJ-atSZ1E-atQs6x-m2axs-6et9ZA-891eSj-Bs6y4-5hRkaW-891fn3-891fUG-9LJweC-DSoYe-DSoYp,,
Boat wreck at bottom of the lake,"It Depends: Boat wrecks can provide habitat for fish and other species, however, pollutants such as gasoline can leach into the water as the boat breaks down",Lake Bottom,It Depends,Fifi_shipwreck_wikicommons.png,"Almokla, Wikimedia",http://upload.wikimedia.org/wikipedia/commons/4/4d/Fifi_shipwreck.jpg,,
